"station","NAME","LATITUDE","LONGITUDE"
"69015093121","TWENTYNINE PALMS MC, CA US","34.294","-116.14722"
"70000126492","PORTAGE GLACIER VISITOR CENTER, AK US","60.78351","-148.84839"
"70019726558","SELAWIK AIRPORT, AK US","66.6","-159.98611"
"70026027502","BARROW AIRPORT, AK US","71.28703","-156.73938"
"70063226645","BUCKLAND AIRPORT, AK US","65.98333","-161.13333"
"70063427408","UGNU KUPARUK AIRPORT, AK US","70.33083","-149.5975"
"70063526465","GALBRAITH LAKE AIRPORT, AK US","68.47889","-149.49"
"70063727406","DEADHORSE, AK US","70.19146","-148.48005"
"70063899999","FALSE PASS, AK US","54.85","-163.4166666"
"70104026631","CAPE LISBURNE AFS, AK US","68.86667","-166.13333"
"70104326623","POINT HOPE AIRPORT, AK US","68.35","-166.8"
"70104526649","RED DOG, AK US","68.03139","-162.90306"
"70117026634","TIN CITY, AK US","65.56306","-167.92139"
"70119526625","SHISHMAREF AIRPORT, AK US","66.24958","-166.08936"
"70119600102","BOB BARKER MEMORIAL AIRPORT, AK US","66.983","-160.433"
"70121026624","POINT LAY, AK US","69.73288","-163.00533"
"70133026616","KOTZEBUE AIRPORT, AK US","66.88569","-162.6068"
"70133326643","DEERING AIRPORT, AK US","66.06957","-162.76142"
"70133526648","NOATAK AIRPORT, AK US","67.56611","-162.975"
"70133700103","WALES AIRPORT, AK US","65.617","-168.1"
"70133899999","CHEVAK AIRPORT, AK US","61.5333333","-165.5833333"
"70162526542","ANAKTUVUK AUTO, AK US","68.16667","-151.76667"
"70171826551","AMBLER AIRPORT, AK US","67.1","-157.85"
"70171900490","SHUNGNAK AIRPORT, AK US","66.88808","-157.16241"
"70173026535","INDIAN MOUNTAIN AFS, AK US","66.0","-153.7"
"70174026533","BETTLES AIRPORT, AK US","66.91764","-151.51892"
"70174899999","PROSPECT CREEK AIRPORT, AK US","66.8166666","-150.65"
"70178026529","TANANA AIRPORT, AK US","65.173","-152.10676"
"70194026413","FORT YUKON, AK US","66.56667","-145.26667"
"70197526422","EAGLE AIRPORT, AK US","64.77611","-141.16351"
"70200026617","NOME AIRPORT, AK US","64.51112","-165.44002"
"70200499999","WHITE MOUNTAIN, AK US","64.6891944","-163.41275"
"70200526647","ST MARYS AIRPORT, AK US","62.06167","-163.3"
"70200626502","KALTAG AIRPORT, AK US","64.3208","-158.7326"
"70203526704","SAVOONGA, AK US","63.68667","-170.49333"
"70207526644","ANVIK AIRPORT, AK US","62.65","-160.18333"
"70212026646","CAPE ROMANZOF AIRPORT, AK US","61.78333","-166.03333"
"70218526622","MEKORYUK, AK US","60.38333","-166.2"
"70219026615","BETHEL AIRPORT, AK US","60.78497","-161.82931"
"70222026501","GALENA AIRPORT, AK US","64.73667","-156.93444"
"70231026510","MCGRATH AIRPORT, AK US","62.9574","-155.61009"
"70231526536","TATLINA AIRPORT, AK US","62.89417","-155.97639"
"70232026516","ANIAK AIRPORT, AK US","61.58159","-159.54304"
"70232526443","WASILLA AIRPORT, AK US","61.57194","-149.54056"
